关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
车仔面,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
鲜虾云吞,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
红油抄手,早餐,250,一碗约250g（含汤）,煮制,香辣,待审核
牛肉肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核
叉烧肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核
滑蛋肠粉,早餐,200,一份约200g,蒸制,咸鲜,待审核
潮汕粿条,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
砂锅粥,早餐,350,一碗约350g（含汤）,煮制,咸鲜,待审核
及第粥,早餐,350,一碗约350g（含汤）,煮制,咸鲜,待审核
竹升面,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核
广式糯米鸡,早餐,200,一个约200g,蒸制,咸鲜,待审核
水晶虾饺,早餐,120,一份约120g（4只）,蒸制,鲜香,待审核
火腿三明治,早餐,150,一份约150g,烤制,咸鲜,待审核
鸡蛋吐司,早餐,150,一份约150g,烤制,甜味,待审核
牛角可颂,早餐,150,一份约150g,烤制,甜味,待审核
原味贝果,早餐,150,一份约150g,烤制,甜味,待审核
香蕉松饼,早餐,150,一份约150g,煎制,甜味,待审核
华夫饼,早餐,150,一份约150g,煎制,甜味,待审核
铜锣烧,早餐,150,一份约150g,煎制,甜味,待审核
米汉堡,早餐,150,一份约150g,烤制,咸鲜,待审核
芝士焗红薯,早餐,150,一份约150g,烤制,甜味,待审核
豆汁儿,早餐,250,一碗约250g（含汤）,煮制,原味,待审核
锅巴菜,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
面线糊,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
锅边糊,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
肉燕,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
扁肉拌面,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
粿汁,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
猪红汤,早餐,250,一碗约250g（含汤）,煮制,咸鲜,待审核
豉汁凤爪,早餐,150,一份约150g（4只）,蒸制,咸鲜,待审核
芋头糕,早餐,100,一份约100g,蒸制,咸鲜,待审核
蛋挞,早餐,100,一份约100g,烤制,甜味,待审核
叉烧酥,早餐,100,一份约100g,烤制,咸鲜,待审核
白粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
南瓜小米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
玉米糊糊,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
麦片粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核
五谷豆浆,早餐,250,一杯约250ml,煮制,原味,待审核
热牛奶,早餐,250,一杯约250ml,煮制,原味,待审核
蒸红薯,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核
蒸山药,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核
蒸芋头,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核
茴香盒子,早餐,200,一个/份约200g,煎制,咸鲜,待审核
油条,早餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核
麻花,早餐,100,一份约100g，作为小吃,油炸,甜味,待审核
馓子,早餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核
烤红薯,早餐,150,一个约150g，作为粗粮,烤制,甜味,待审核
杂粮煎饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
牛肉馅饼,早餐,200,一个/份约200g,煎制,咸鲜,待审核
油茶,早餐,250,一碗约250g（含糊）,冲泡,咸鲜,待审核
甜豆腐脑,早餐,250,一碗约250g,煮制,甜味,待审核
紫薯馒头,早餐,100,一个/份约100g,蒸制,甜味,待审核
麻酱花卷,早餐,100,一个/份约100g,蒸制,咸鲜,待审核
广式烧鹅,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
蜜汁叉烧,晚餐,200,一份，可食部分约200g,烤制,甜味,待审核
卤水拼盘,晚餐,250,一份约250g,煮制,五香,待审核
潮汕卤鹅,晚餐,300,一份，可食部分约300g,煮制,五香,待审核
隆江猪脚饭,午餐,350,一份约350g（含米饭）,炖煮,咸鲜,待审核
白灼鱿鱼,晚餐,200,一份约200g,煮制,鲜香,待审核
老火靓汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
花胶炖鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
西洋菜猪骨汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
粉葛鲮鱼汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
五指毛桃鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
冬瓜薏米鸭汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
猪肚鸡汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核
竹丝鸡汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核
清蒸石斑鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核
清蒸东星斑,晚餐,350,一份（整鱼），可食部分约350g,蒸制,鲜香,待审核
清蒸水蛋,晚餐,150,一份约150g,蒸制,咸鲜,待审核
蒜蓉粉丝蒸虾,晚餐,250,一份约250g（8-10只）,蒸制,蒜香,待审核
啫啫鸡煲,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核
啫啫生肠,晚餐,250,一份约250g,焖制,咸鲜,待审核
湿炒牛河,午餐,300,一份约300g,炒制,咸鲜,待审核
避风塘虾,晚餐,200,一份约200g,油炸,香辣,待审核
椒盐濑尿虾,晚餐,250,一份约250g（8-10只）,油炸,五香,待审核
姜葱炒蟹,晚餐,300,一只/份，可食部分约300g,炒制,鲜香,待审核
滑蛋虾仁,午餐,200,一份约200g,炒制,咸鲜,待审核
豉汁炒花甲,晚餐,250,一份约250g,炒制,咸鲜,待审核
苦瓜牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核
芥兰炒牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核
菜心炒牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核
腊味煲仔饭,午餐,350,一煲约350g,焖制,咸鲜,待审核
咸鱼鸡粒炒饭,午餐,300,一份约300g,炒制,咸鲜,待审核
生炒糯米饭,午餐,250,一份约250g,炒制,咸鲜,待审核
干蒸烧卖,加餐,150,一份约150g（4只）,蒸制,咸鲜,待审核
鸡仔饼,加餐,100,一份约100g，作为茶点,烤制,甜味,待审核
老婆饼,加餐,100,一个约100g，作为茶点,烤制,甜味,待审核
杏仁饼,加餐,80,一份约80g，作为茶点,烤制,甜味,待审核
砵仔糕,加餐,100,一个约100g，作为茶点,蒸制,甜味,待审核
白糖糕,加餐,100,一份约100g，作为茶点,蒸制,甜味,待审核
伦教糕,加餐,100,一份约100g，作为茶点,蒸制,甜味,待审核
咸水角,加餐,100,一个约100g，作为茶点,油炸,咸鲜,待审核
蛋散,加餐,100,一份约100g，作为茶点,油炸,甜味,待审核
笑口枣,加餐,80,一份约80g，作为茶点,油炸,甜味,待审核
牛脷酥,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核
油角,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核
煎堆,加餐,100,一个约100g，作为茶点,油炸,甜味,待审核
潮汕牛肉火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
手打牛肉丸,晚餐,200,一份约200g（6-8颗）,煮制,咸鲜,待审核
沙茶牛肉,午餐,250,一份约250g,炒制,咸鲜,待审核
蚝烙,晚餐,200,一份约200g,煎制,鲜香,待审核
普宁豆酱煮鱼,晚餐,300,一份（整鱼），可食部分约300g,煮制,咸鲜,待审核
生腌虾,晚餐,150,一份约150g,其他,鲜香,待审核
生腌蟹,晚餐,150,一只/份，可食部分约150g,其他,鲜香,待审核
生腌血蛤,晚餐,120,一份约120g,其他,鲜香,待审核
反沙芋头,加餐,150,一份约150g，作为甜点,油炸,甜味,待审核
客家盐焗鸡,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
粉丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
梅干菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
萝卜丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
韭菜鸡蛋包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
猪肉大葱包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
猪肉白菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
猪肉粉条包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
羊肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
牛肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
三鲜包子,早餐,150,两个约150g,蒸制,鲜香,待审核
虾仁包子,早餐,150,两个约150g,蒸制,鲜香,待审核
香菇鸡肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
豆角包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
酸菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
南瓜包子,早餐,150,两个约150g,蒸制,甜味,待审核
酱肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
卤肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
鲜肉笋丁包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
荠菜包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
芹菜猪肉包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
青菜香菇包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
黑芝麻包子,早餐,150,两个约150g,蒸制,甜味,待审核
枣泥包子,早餐,150,两个约150g,蒸制,甜味,待审核
蟹黄包子,早餐,150,两个约150g,蒸制,鲜香,待审核
肉末粉丝包子,早餐,150,两个约150g,蒸制,咸鲜,待审核
腌笃鲜,晚餐,300,一碗约300g（含汤）,炖煮,咸鲜,待审核
椒麻鸡,晚餐,250,一份约250g,凉拌,香辣,待审核
东山羊,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核
啤酒鱼,晚餐,350,一份（整鱼），可食部分约350g,焖制,香辣,待审核
老友粉,午餐,300,一碗约300g（含汤）,煮制,酸辣,待审核
酿皮,午餐,200,一份约200g,凉拌,酸辣,待审核
龟苓膏,加餐,150,一碗约150g，作为甜品,其他,甜味,待审核
