关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
锦州干豆腐,加餐,150,一份约150g，作为凉菜/配餐,其他,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,干豆腐以豆干制成，作为蛋白质小菜。
大连咸鱼饼子,午餐,250,一份约250g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|鱼类,咸鱼饼子以玉米饼配咸鱼，作为主食。
大连樱桃肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核,组合组成项,蛋白质,畜肉,樱桃肉以猪肉炸制，作为蛋白质菜肴。
大连海凉粉,加餐,200,一份约200g，作为凉菜小吃,凉拌,咸鲜,待审核,组合组成项,其他配菜,藻类,海凉粉以海草熬制凉粉，作为小吃。
长春酱骨头,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质,畜肉,酱骨头以猪骨酱制，作为蛋白质菜肴。
吉林乌拉火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉,乌拉火锅以肉片涮煮，作为整餐混合餐。
东北烤冷面,加餐,200,一份约200g，作为小吃,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,烤冷面以冷面片煎制，作为主食小吃。
四平熏肉大饼,午餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,大饼夹熏肉，作为主食。
查干湖胖头鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核,组合组成项,蛋白质,鱼类,胖头鱼以鱼烹制，作为蛋白质菜肴。
延边石锅拌饭,午餐,300,一份约300g,其他,香辣,待审核,整餐候选,混合主餐,米及制品,石锅拌饭以米饭拌菜，作为整餐混合主食。
延边酱汤,早餐,300,一碗约300g（含汤），作为早餐,煮制,咸鲜,待审核,组合组成项,汤羹,大豆及豆制品,酱汤以大酱煮制，作为汤品。
延边参鸡汤,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核,整餐候选,汤羹,禽肉,参鸡汤以鸡肉人参炖汤，作为整餐汤品。
延边米肠,加餐,150,一份约150g，作为小吃,煮制,咸鲜,待审核,组合组成项,主食,米及制品,米肠以糯米灌肠制成，作为主食小吃。
长春鸡汤豆腐串,加餐,200,一份约200g，作为小吃,煮制,鲜香,待审核,组合组成项,汤羹,禽肉|大豆及豆制品,鸡汤豆腐串以豆腐串煮鸡汤，作为汤品小吃。
延边明太鱼,加餐,150,一份约150g，作为熟食/凉菜,其他,咸鲜,待审核,组合组成项,蛋白质,鱼类,明太鱼以鱼制成，作为蛋白质菜肴。
雪衣豆沙,加餐,150,一份约150g，作为甜点,油炸,甜味,待审核,组合组成项,其他配菜,杂豆|蛋类,雪衣豆沙以豆沙裹蛋泡炸制，作为点心。
延边牛尾汤,晚餐,300,一碗约300g（含汤）,炖煮,鲜香,待审核,整餐候选,汤羹,畜肉,牛尾汤以牛尾炖汤，作为整餐汤品。
哈尔滨杀猪菜,晚餐,400,一份，可食部分约400g（含血肠）,炖煮,咸鲜,待审核,组合组成项,混合主餐,畜肉|动物内脏,杀猪菜以猪肉血肠酸菜炖制，作为荤素主菜。
哈尔滨溜肉段,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核,组合组成项,蛋白质,畜肉,溜肉段以猪肉炸熘，作为蛋白质菜肴。
哈尔滨大列巴,早餐,150,一份约150g，作为早餐,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,大列巴以麦面烤制面包，作为主食。
哈尔滨粘豆包,加餐,100,一份约100g，作为小吃,蒸制,甜味,待审核,组合组成项,主食,米及制品|杂豆,粘豆包以糯米面包豆沙蒸制，作为主食。
哈尔滨冻柿子,加餐,100,一个约100g，作为水果,其他,甜味,待审核,组合组成项,水果,水果,冻柿子以柿子冻制，作为水果。
哈尔滨坛肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉,坛肉以猪肉坛焖，作为蛋白质菜肴。
哈尔滨酱骨架,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质,畜肉,酱骨架以猪骨架酱制，作为蛋白质菜肴。
秋林格瓦斯,加餐,250,一杯约250ml，作为饮品,其他,甜味,待审核,组合组成项,饮品,麦及制品,格瓦斯以面包发酵饮料，作为饮品。
鸡西辣菜,加餐,150,一份约150g，作为凉菜小吃,凉拌,香辣,待审核,组合组成项,蔬菜,叶菜,辣菜以凉拌菜拌制，作为蔬菜小菜。
镜泊湖红尾鱼,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核,组合组成项,蛋白质,鱼类,红尾鱼以鱼烹制，作为蛋白质菜肴。
呼伦贝尔锅茶,早餐,300,一碗约300ml，作为早餐饮品,煮制,咸鲜,待审核,组合组成项,饮品,奶及奶制品,锅茶以奶茶熬煮，作为饮品。
通辽牛肉干,加餐,80,一份约80g，作为零食,烤制,咸鲜,待审核,组合组成项,蛋白质,畜肉,牛肉干以牛肉风干，作为蛋白质小吃。
赤峰对夹,午餐,200,一个约200g,烤制,咸鲜,待审核,组合组成项,主食,麦及制品|畜肉,对夹以酥饼夹肉，作为主食。
呼伦贝尔烤羊背,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,组合组成项,蛋白质,畜肉,烤羊背以羊肉烤制，作为蛋白质菜肴。
东北乱炖,晚餐,400,一份，可食部分约400g,炖煮,咸鲜,待审核,组合组成项,混合主餐,畜肉|薯类,乱炖以猪肉土豆豆角同炖，作为荤素主菜。
排骨炖豆角,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉,排骨炖豆角以畜肉为主要食材，作为蛋白质。
鲶鱼炖茄子,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核,组合组成项,蛋白质,鱼类|瓜茄类,鲶鱼炖茄子以鱼类为主要食材，作为蛋白质。
茄子炖土豆,午餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蔬菜,薯类|瓜茄类,茄子炖土豆以茄子土豆炖制，作为蔬菜菜肴。
尖椒干豆腐,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜,大豆及豆制品|瓜茄类,尖椒干豆腐以青椒豆干炒制，作为蔬菜菜肴。
东北蘸酱菜,午餐,200,一份约200g,凉拌,咸鲜,待审核,组合组成项,蔬菜,叶菜,蘸酱菜以多种生菜生食蘸酱，作为蔬菜小菜。
东北皮冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核,组合组成项,其他配菜,畜肉,皮冻以猪皮熬制成冻，作为小菜。
农家一锅出,晚餐,400,一份，可食部分约400g,煮制,咸鲜,待审核,整餐候选,混合主餐,畜肉|薯类,一锅出以饭菜同锅焖制，作为整餐混合餐。
东北春饼,午餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,春饼以麦面薄饼，作为主食。
东北饭包,午餐,300,一个约300g,其他,咸鲜,待审核,组合组成项,主食,米及制品|叶菜,饭包以米饭菜叶包裹，作为主食。
玉米面菜团子,加餐,100,一份约100g，作为小吃,蒸制,咸鲜,待审核,组合组成项,主食,其他谷物,菜团子以玉米面裹菜蒸制，作为主食。
酸汤子,午餐,300,一碗约300g（含汤）,煮制,酸辣,待审核,整餐候选,主食,其他谷物,酸汤子以玉米面条煮制，作为整餐主食。
苞米碴子粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核,整餐候选,主食,其他谷物,苞米碴子粥以玉米碴熬粥，作为整餐主食。
冻豆腐炖白菜,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蔬菜,叶菜|大豆及豆制品,冻豆腐炖白菜以白菜豆腐炖制，作为蔬菜菜肴。
渍菜粉,午餐,250,一份约250g,炒制,酸辣,待审核,组合组成项,蔬菜,叶菜,渍菜粉以酸菜粉条炒制，作为蔬菜菜肴。
韭菜盒子,加餐,150,一份约150g（2个），作为小吃,煎制,咸鲜,待审核,组合组成项,蔬菜,叶菜,韭菜盒子以叶菜为主要食材，作为蔬菜。
东北烤苞米,加餐,150,一份约150g，作为小吃,烤制,原味,待审核,组合组成项,蔬菜,其他谷物,烤苞米以玉米烤制，作为蔬菜小吃。
满族八大碗,晚餐,350,一份，可食部分约350g,蒸制,咸鲜,待审核,整餐候选,混合主餐,畜肉|禽肉,八大碗以多种碗菜组合，作为整餐混合餐。
香煎鸡胸肉,午餐,150,一份约150g,煎制,咸鲜,待审核,组合组成项,蛋白质,禽肉,香煎鸡胸肉以禽肉为主要食材，作为蛋白质。
蒜蓉西兰花,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜,花茎类,蒜蓉西兰花以花茎类为主要食材，作为蔬菜。
白灼虾,晚餐,200,一份约200g（8-10只）,煮制,原味,待审核,组合组成项,蛋白质,虾蟹贝类,白灼虾以虾蟹贝类为主要食材，作为蛋白质。
清蒸龙利鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质,鱼类,清蒸龙利鱼以鱼类为主要食材，作为蛋白质。
凉拌鸡丝,午餐,150,一份约150g,凉拌,咸鲜,待审核,组合组成项,蛋白质,禽肉,凉拌鸡丝以禽肉为主要食材，作为蛋白质。
番茄龙利鱼汤,晚餐,300,一碗约300g（含汤）,煮制,酸甜,待审核,组合组成项,汤羹,鱼类|瓜茄类,番茄龙利鱼汤以鱼类为主要食材，作为汤羹。
彩椒炒鸡丁,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,禽肉|瓜茄类,彩椒炒鸡丁以禽肉为主要食材，作为蛋白质。
香菇炒青菜,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,叶菜|菌菇,香菇炒青菜以叶菜为主要食材，作为蔬菜。
水煮蛋,早餐,100,两个约100g,煮制,原味,待审核,组合组成项,蛋白质,蛋类,水煮蛋以蛋煮制，作为蛋白质菜肴。
牛奶燕麦粥,早餐,250,一碗约250g，作为早餐,煮制,原味,待审核,整餐候选,主食,其他谷物|奶及奶制品,牛奶燕麦粥以燕麦牛奶熬粥，作为整餐主食。
蒸玉米,早餐,100,一根约100g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,其他谷物,蒸玉米以玉米蒸制，作为蔬菜小吃。
凉拌魔芋丝,加餐,150,一份约150g，作为低卡小吃,凉拌,酸辣,待审核,组合组成项,蔬菜,薯类,魔芋丝以魔芋制成凉拌，作为蔬菜小菜。
手撕鸡胸肉,午餐,150,一份约150g,凉拌,咸鲜,待审核,组合组成项,蛋白质,禽肉,手撕鸡胸肉以禽肉为主要食材，作为蛋白质。
清炒时蔬,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,叶菜,清炒时蔬以叶菜为主要食材，作为蔬菜。
虾仁蒸蛋,早餐,150,一份约150g,蒸制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类|蛋类,虾仁蒸蛋以虾蟹贝类为主要食材，作为蛋白质。
荞麦面条,午餐,250,一碗约250g（含汤）,煮制,清淡,待审核,整餐候选,主食,其他谷物,荞麦面条以荞麦面煮制，作为整餐主食。
杂粮饭,午餐,250,一份约250g,蒸制,原味,待审核,整餐候选,主食,米及制品|其他谷物,杂粮饭以多种谷物煮饭，作为整餐主食。
冬瓜丸子汤,晚餐,300,一碗约300g（含汤）,煮制,清淡,待审核,组合组成项,汤羹,畜肉|瓜茄类,冬瓜丸子汤以畜肉为主要食材，作为汤羹。
口蘑鸡胸肉,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,禽肉|菌菇,口蘑鸡胸肉以禽肉为主要食材，作为蛋白质。
油醋汁蔬菜沙拉,午餐,200,一份约200g,凉拌,清淡,待审核,组合组成项,蔬菜,叶菜|瓜茄类,油醋汁蔬菜沙拉以相关为主要食材，作为蔬菜。
蒸南瓜,早餐,150,一份约150g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,瓜茄类,蒸南瓜以瓜茄类为主要食材，作为蔬菜。
紫菜蛋花汤,晚餐,200,一碗约200g（含汤）,煮制,清淡,待审核,组合组成项,汤羹,蛋类|藻类,紫菜蛋花汤以蛋类为主要食材，作为汤羹。
凉拌木耳,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核,组合组成项,蔬菜,菌菇,凉拌木耳以菌菇为主要食材，作为蔬菜。
清蒸鲈鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核,组合组成项,蛋白质,鱼类,清蒸鲈鱼以鱼类为主要食材，作为蛋白质。
芹菜炒香干,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,大豆及豆制品|叶菜,芹菜炒香干以大豆及豆制品为主要食材，作为蔬菜。
白灼菜心,晚餐,200,一份约200g,煮制,清淡,待审核,组合组成项,蔬菜,叶菜,白灼菜心以叶菜为主要食材，作为蔬菜。
鸡胸肉沙拉,午餐,200,一份约200g,凉拌,咸鲜,待审核,组合组成项,蛋白质,禽肉,鸡胸肉沙拉以禽肉为主要食材，作为蛋白质。
番茄豆腐汤,晚餐,250,一碗约250g（含汤）,煮制,酸甜,待审核,组合组成项,汤羹,大豆及豆制品|瓜茄类,番茄豆腐汤以大豆及豆制品为主要食材，作为汤羹。
炒蘑菇,加餐,150,一份约150g，作为配菜,炒制,咸鲜,待审核,组合组成项,蔬菜,菌菇,炒蘑菇以菌菇为主要食材，作为蔬菜。
芦笋炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类|花茎类,芦笋炒虾仁以虾蟹贝类为主要食材，作为蛋白质。
小米粥,早餐,250,一碗约250g，作为早餐,煮制,原味,待审核,整餐候选,主食,其他谷物,小米粥以其他谷物为主要食材，作为主食。
凉拌黄瓜,加餐,150,一份约150g，作为凉菜,凉拌,清淡,待审核,组合组成项,蔬菜,瓜茄类,凉拌黄瓜以瓜茄类为主要食材，作为蔬菜。
清炒芦笋,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,花茎类,清炒芦笋以花茎类为主要食材，作为蔬菜。
凉拌豆腐丝,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,凉拌豆腐丝以大豆及豆制品为主要食材，作为蛋白质。
蒸紫薯,早餐,150,一个约150g，作为粗粮,蒸制,原味,待审核,组合组成项,蔬菜,薯类,蒸紫薯以薯类为主要食材，作为蔬菜。
虾仁西兰花,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类|花茎类,虾仁西兰花以虾蟹贝类为主要食材，作为蛋白质。
酸奶水果捞,加餐,200,一份约200g，作为低脂甜品,其他,甜味,待审核,组合组成项,水果,奶及奶制品,酸奶水果捞以奶及奶制品为主要食材，作为水果。
水波蛋,早餐,100,一个约100g,煮制,原味,待审核,组合组成项,蛋白质,蛋类,水波蛋以蛋水煮，作为蛋白质菜肴。
鸡胸肉蔬菜卷,午餐,200,一个约200g,其他,咸鲜,待审核,组合组成项,蛋白质,禽肉,鸡胸肉蔬菜卷以禽肉为主要食材，作为蛋白质。
藜麦饭,午餐,250,一份约250g,蒸制,原味,待审核,整餐候选,主食,其他谷物,藜麦饭以藜麦煮制，作为整餐主食。
冬瓜海带汤,晚餐,250,一碗约250g（含汤）,煮制,清淡,待审核,组合组成项,汤羹,瓜茄类|藻类,冬瓜海带汤以瓜茄类为主要食材，作为汤羹。
凉拌西葫芦丝,加餐,150,一份约150g，作为凉菜,凉拌,清淡,待审核,组合组成项,蔬菜,瓜茄类,凉拌西葫芦丝以瓜茄类为主要食材，作为蔬菜。
尖椒炒肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|瓜茄类,尖椒炒肉以畜肉为主要食材，作为蛋白质。
白菜炖豆腐,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蔬菜,大豆及豆制品|叶菜,白菜炖豆腐以大豆及豆制品为主要食材，作为蔬菜。
干煸豆角,午餐,200,一份约200g,炒制,香辣,待审核,组合组成项,蔬菜,叶菜,干煸豆角以相关为主要食材，作为蔬菜。
香菇油菜,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,叶菜|菌菇,香菇油菜以叶菜为主要食材，作为蔬菜。
青椒炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,蛋类|瓜茄类,青椒炒蛋以蛋类为主要食材，作为蛋白质。
蒜蓉油麦菜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜,叶菜,蒜蓉油麦菜以叶菜为主要食材，作为蔬菜。
蚝油生菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,叶菜,蚝油生菜以叶菜为主要食材，作为蔬菜。
手撕包菜,晚餐,200,一份约200g,炒制,香辣,待审核,组合组成项,蔬菜,叶菜,手撕包菜以包菜手撕炒制，作为蔬菜菜肴。
醋溜白菜,午餐,250,一份约250g,炒制,酸甜,待审核,组合组成项,蔬菜,叶菜,醋溜白菜以叶菜为主要食材，作为蔬菜。
土豆炖牛肉,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉|薯类,土豆炖牛肉以畜肉为主要食材，作为蛋白质。
西红柿牛腩,晚餐,350,一份，可食部分约350g,炖煮,酸甜,待审核,组合组成项,蛋白质,畜肉|瓜茄类,西红柿牛腩以畜肉为主要食材，作为蛋白质。
可乐鸡翅,晚餐,250,一份约250g（6-8只）,焖制,甜味,待审核,组合组成项,蛋白质,禽肉,可乐鸡翅以禽肉为主要食材，作为蛋白质。
红烧鸡爪,加餐,200,一份约200g，作为小吃,焖制,咸鲜,待审核,组合组成项,蛋白质,禽肉,红烧鸡爪以禽肉为主要食材，作为蛋白质。
黄豆焖猪蹄,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核,组合组成项,蛋白质,畜肉|杂豆,黄豆焖猪蹄以畜肉为主要食材，作为蛋白质。
红烧排骨,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质,畜肉,红烧排骨以畜肉为主要食材，作为蛋白质。
糖醋里脊,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核,组合组成项,蛋白质,畜肉,糖醋里脊以畜肉为主要食材，作为蛋白质。
鱼香茄子,午餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蔬菜,瓜茄类,鱼香茄子以瓜茄类为主要食材，作为蔬菜。
蚂蚁上树,午餐,250,一份约250g,炒制,香辣,待审核,组合组成项,蛋白质,畜肉,蚂蚁上树以肉末配粉条烹制，作为蛋白质菜肴。
木须肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,木须肉以畜肉为主要食材，作为蛋白质。
蒜苔炒肉,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|花茎类,蒜苔炒肉以畜肉为主要食材，作为蛋白质。
洋葱炒牛肉,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|根菜,洋葱炒牛肉以牛肉洋葱炒制，作为蛋白质菜肴。
西葫芦炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,蛋类|瓜茄类,西葫芦炒蛋以蛋类为主要食材，作为蛋白质。
苦瓜炒蛋,午餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蛋白质,蛋类|瓜茄类,苦瓜炒蛋以蛋类为主要食材，作为蛋白质。
丝瓜炒蛋,午餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蛋白质,蛋类|瓜茄类,丝瓜炒蛋以蛋类为主要食材，作为蛋白质。
家常豆腐,午餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,家常豆腐以大豆及豆制品为主要食材，作为蛋白质。
干锅花菜,晚餐,250,一份约250g,炒制,香辣,待审核,组合组成项,蔬菜,花茎类,干锅花菜以花茎类为主要食材，作为蔬菜。
青蒜炒腊肉,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|叶菜,青蒜炒腊肉以畜肉为主要食材，作为蛋白质。
莴笋炒肉片,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|花茎类,莴笋炒肉片以畜肉为主要食材，作为蛋白质。
清炒藕片,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,根菜,清炒藕片以根菜为主要食材，作为蔬菜。
胡萝卜炒肉丝,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉|根菜,胡萝卜炒肉丝以畜肉为主要食材，作为蛋白质。
韭菜炒豆芽,午餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,叶菜,韭菜炒豆芽以叶菜为主要食材，作为蔬菜。
素炒三丝,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,叶菜,素炒三丝以多种蔬菜丝炒制，作为蔬菜菜肴。
红烧茄子,午餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蔬菜,瓜茄类,红烧茄子以瓜茄类为主要食材，作为蔬菜。
番茄炒西葫芦,午餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜,瓜茄类,番茄炒西葫芦以瓜茄类为主要食材，作为蔬菜。
蚝油香菇,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜,菌菇,蚝油香菇以菌菇为主要食材，作为蔬菜。
蒜蓉蒸丝瓜,晚餐,200,一份约200g,蒸制,蒜香,待审核,组合组成项,蔬菜,瓜茄类,蒜蓉蒸丝瓜以瓜茄类为主要食材，作为蔬菜。
冬瓜炖排骨,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核,组合组成项,汤羹,瓜茄类|畜肉,冬瓜炖排骨以冬瓜猪骨炖汤，作为汤品。
玉米排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|其他谷物,玉米排骨汤以畜肉为主要食材，作为汤羹。
海带排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|藻类,海带排骨汤以畜肉为主要食材，作为汤羹。
山药炖鸡,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核,组合组成项,汤羹,薯类|禽肉,山药炖鸡以山药鸡肉炖汤，作为汤品。
板栗烧鸡,晚餐,300,一份，可食部分约300g,焖制,咸鲜,待审核,组合组成项,蛋白质,禽肉|坚果,板栗烧鸡以禽肉为主要食材，作为蛋白质。
黄焖鸡,晚餐,350,一份，可食部分约350g,焖制,咸鲜,待审核,组合组成项,蛋白质,禽肉,黄焖鸡以禽肉为主要食材，作为蛋白质。
啤酒鸭,晚餐,350,一份，可食部分约350g,焖制,咸鲜,待审核,组合组成项,蛋白质,禽肉,啤酒鸭以禽肉为主要食材，作为蛋白质。
孜然牛肉,晚餐,250,一份，可食部分约250g,炒制,孜然,待审核,组合组成项,蛋白质,畜肉,孜然牛肉以畜肉为主要食材，作为蛋白质。
洋葱炒蛋,午餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,蛋类|根菜,洋葱炒蛋以洋葱炒蛋，作为蛋白质菜肴。
西红柿炒菜花,午餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜,花茎类|瓜茄类,西红柿炒菜花以花茎类为主要食材，作为蔬菜。
清炒荷兰豆,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,花茎类,清炒荷兰豆以花茎类为主要食材，作为蔬菜。
上汤娃娃菜,晚餐,250,一份约250g（含汤）,煮制,咸鲜,待审核,组合组成项,蔬菜,叶菜,娃娃菜以上汤煮制，作为蔬菜菜肴。
葱爆羊肉,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,葱爆羊肉以畜肉为主要食材，作为蛋白质。
小炒黄牛肉,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质,畜肉,小炒黄牛肉以畜肉为主要食材，作为蛋白质。
农家小炒肉,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核,组合组成项,蛋白质,畜肉,农家小炒肉以畜肉为主要食材，作为蛋白质。
韭菜炒河虾,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质,虾蟹贝类|叶菜,韭菜炒河虾以虾蟹贝类为主要食材，作为蛋白质。
香煎豆腐,午餐,250,一份约250g,煎制,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,香煎豆腐以大豆及豆制品为主要食材，作为蛋白质。
肉末茄子,午餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蛋白质,畜肉|瓜茄类,肉末茄子以畜肉为主要食材，作为蛋白质。
清炒山药,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,薯类,清炒山药以薯类为主要食材，作为蔬菜。
醋溜土豆丝,午餐,250,一份约250g,炒制,酸甜,待审核,组合组成项,蔬菜,薯类,醋溜土豆丝以薯类为主要食材，作为蔬菜。
西芹百合,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜,叶菜|花茎类,西芹百合以叶菜为主要食材，作为蔬菜。
松仁玉米,午餐,200,一份约200g,炒制,甜味,待审核,组合组成项,蔬菜,其他谷物|坚果,松仁玉米以玉米松仁炒制，作为蔬菜菜肴。
南瓜粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,米及制品|瓜茄类,南瓜粥以米及制品为主要食材，作为主食。
八宝粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核,整餐候选,主食,米及制品|杂豆,八宝粥以多种米豆熬粥，作为整餐主食。
绿豆粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,杂豆,绿豆粥以绿豆熬粥，作为整餐主食。
红豆薏米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,杂豆|其他谷物,红豆薏米粥以红豆薏米熬粥，作为整餐主食。
紫米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,米及制品,紫米粥以紫米熬粥，作为整餐主食。
银耳莲子粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核,整餐候选,主食,米及制品|菌菇,银耳莲子粥以米配银耳熬粥，作为整餐主食。
黑米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,米及制品,黑米粥以黑米熬粥，作为整餐主食。
山药粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核,整餐候选,主食,薯类,山药粥以山药熬粥，作为整餐主食。
香菇鸡肉粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,菌菇|禽肉,香菇鸡肉粥以米粥配鸡肉，作为整餐混合主食。
生滚鱼片粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,鱼类,生滚鱼片粥以米粥配鱼片，作为整餐混合主食。
猪肝瘦肉粥,早餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,动物内脏|畜肉,猪肝瘦肉粥以米粥配肝肉，作为整餐混合主食。
红薯小米粥,早餐,300,一碗约300g（含汤）,煮制,原味,待审核,整餐候选,主食,薯类|其他谷物,红薯小米粥以小米红薯熬粥，作为整餐主食。
腊八粥,早餐,300,一碗约300g（含汤）,煮制,甜味,待审核,整餐候选,主食,米及制品|杂豆,腊八粥以多种米豆果料熬粥，作为整餐主食。
